Date,Capital Group New Perspective,MSCI World Index
19-Aug-16,0.9546,1
22-Aug-16,0.9567,0.998601307
23-Aug-16,0.9588,1.000196089
24-Aug-16,0.9588,1.001180925
25-Aug-16,0.9538,0.998748738
26-Aug-16,0.9501,0.99230284
29-Aug-16,0.9594,1.003897902
30-Aug-16,0.9665,1.009895398
31-Aug-16,0.9658,1.007172462
1-Sep-16,0.9665,1.005329168
2-Sep-16,0.9636,1.011341723
6-Sep-16,0.962,1.008459635
7-Sep-16,0.9584,1.001568535
8-Sep-16,0.957,1.002213186
9-Sep-16,0.9627,0.999435156
12-Sep-16,0.954,0.993453415
13-Sep-16,0.9568,1.004713852
14-Sep-16,0.9604,0.995943859
15-Sep-16,0.9582,0.997257223
16-Sep-16,0.9596,1.000504774
19-Sep-16,0.9574,0.997962812
20-Sep-16,0.9581,0.991922601
21-Sep-16,0.9566,0.992408422
22-Sep-16,0.9609,1.001110864
23-Sep-16,0.9609,1.002020332
26-Sep-16,0.9493,0.99852251
27-Sep-16,0.9478,0.988512995
28-Sep-16,0.9521,0.989152182
29-Sep-16,0.9549,0.99321694
30-Sep-16,0.9485,0.987675534
4-Oct-16,0.9544,0.993004666
5-Oct-16,0.9594,0.990315698
6-Oct-16,0.9608,0.988583946
7-Oct-16,0.9536,0.997305176
10-Oct-16,0.9571,0.99980334
11-Oct-16,0.9578,0.994404065
12-Oct-16,0.9477,0.993684474
13-Oct-16,0.9391,0.991958143
14-Oct-16,0.9405,0.985982088
17-Oct-16,0.9347,0.985327826
18-Oct-16,0.9368,0.97789312
19-Oct-16,0.9404,0.975408498
20-Oct-16,0.9447,0.977670612
21-Oct-16,0.9468,0.977009948
24-Oct-16,0.9517,0.983079107
25-Oct-16,0.9474,0.985721351
26-Oct-16,0.9402,0.988115059
27-Oct-16,0.9466,0.981437305
28-Oct-16,0.9423,0.976253526
31-Oct-16,0.9386,0.982413079
2-Nov-16,0.9213,0.982269462
3-Nov-16,0.9184,0.978501552
4-Nov-16,0.912,0.96788117
7-Nov-16,0.9183,0.960300166
8-Nov-16,0.9233,0.955083258
9-Nov-16,0.9269,0.952758094
10-Nov-16,0.9427,0.964619413
11-Nov-16,0.934,0.965195153
14-Nov-16,0.9289,0.976238076
15-Nov-16,0.9339,0.989676117
16-Nov-16,0.9403,0.991714066
17-Nov-16,0.9453,0.990345985
18-Nov-16,0.959,0.993770791
21-Nov-16,0.9646,1.001923101
22-Nov-16,0.9631,1.006562651
23-Nov-16,0.9574,1.01804304
25-Nov-16,0.9566,1.02277826
28-Nov-16,0.9508,1.022589504
29-Nov-16,0.9515,1.019414717
30-Nov-16,0.9601,1.019127572
1-Dec-16,0.9586,1.020370417
2-Dec-16,0.9428,1.008554894
5-Dec-16,0.9506,1.012461356
6-Dec-16,0.9513,1.020985874
7-Dec-16,0.9548,1.017017367
8-Dec-16,0.9641,1.011282266
9-Dec-16,0.967,1.013548795
12-Dec-16,0.9662,1.021026667
13-Dec-16,0.9676,1.030079325
14-Dec-16,0.9683,1.038015921
15-Dec-16,0.979,1.04022252
16-Dec-16,0.9854,1.034028376
19-Dec-16,0.9918,1.042317978
20-Dec-16,0.9954,1.03327867
21-Dec-16,0.9918,1.050860036
22-Dec-16,0.9939,1.06088228
23-Dec-16,0.9989,1.066520069
28-Dec-16,1.0016,1.069940404
29-Dec-16,0.998,1.067941662
30-Dec-16,0.9922,1.070183474
3-Jan-17,0.993,1.078047254
4-Jan-17,0.9915,1.077668547
5-Jan-17,0.9915,1.076901318
6-Jan-17,0.9936,1.072903023
9-Jan-17,0.9921,1.069185353
10-Jan-17,0.9906,1.064260126
11-Jan-17,0.9921,1.065329744
12-Jan-17,0.9777,1.071037941
13-Jan-17,0.987,1.071877855
17-Jan-17,0.9732,1.067773787
18-Jan-17,0.9754,1.071549147
19-Jan-17,0.9796,1.061151903
20-Jan-17,0.9796,1.061823466
23-Jan-17,0.9738,1.047736073
24-Jan-17,0.9759,1.051360155
25-Jan-17,0.9931,1.050994967
27-Jan-17,0.993,1.041740016
30-Jan-17,0.9865,1.040285571
31-Jan-17,0.9807,1.037174286
1-Feb-17,0.9857,1.040811691
2-Feb-17,0.9706,1.035872382
3-Feb-17,0.9735,1.040076129
6-Feb-17,0.977,1.052790101
7-Feb-17,0.9798,1.054631802
8-Feb-17,0.9726,1.051654154
9-Feb-17,0.9805,1.04484539
10-Feb-17,0.9812,1.040624597
13-Feb-17,0.989,1.045077928
14-Feb-17,0.9839,1.030980958
15-Feb-17,0.9875,1.035596685
16-Feb-17,0.9867,1.037743199
17-Feb-17,0.9903,1.03716952
21-Feb-17,0.9959,1.039015637
22-Feb-17,0.9937,1.044445712
23-Feb-17,0.9915,1.042651456
24-Feb-17,0.993,1.051417649
27-Feb-17,0.9936,1.053673082
28-Feb-17,0.9943,1.05165491
1-Mar-17,1.0029,1.052191005
2-Mar-17,1.0157,1.055351539
3-Mar-17,1.0114,1.053423943
6-Mar-17,1.007,1.058800485
7-Mar-17,1.007,1.056285173
8-Mar-17,1.0141,1.052585561
9-Mar-17,1.0163,1.055765801
10-Mar-17,1.0198,1.055209653
13-Mar-17,1.0169,1.05365114
14-Mar-17,1.0168,1.068128622
15-Mar-17,1.0161,1.073281236
16-Mar-17,1.0153,1.075607876
17-Mar-17,1.0131,1.070672723
20-Mar-17,1.0131,1.066648827
21-Mar-17,1.0087,1.070275135
22-Mar-17,1.0087,1.077252076
23-Mar-17,1.0151,1.077220947
24-Mar-17,1.0201,1.073977809
27-Mar-17,1.0164,1.070830277
28-Mar-17,1.0214,1.074704378
29-Mar-17,1.0221,1.069528363
30-Mar-17,1.0221,1.066897147
31-Mar-17,1.0213,1.059911117
3-Apr-17,1.0267,1.054370695
4-Apr-17,1.0317,1.058058302
